Vocabulary Word,Example Sentence (Swedish),Example Sentence (English)
ett päron,Jag äter ett päron varje dag.,I eat a pear every day.
myndig,När du blir myndig kan du fatta egna beslut.,"When you become an adult, you can make your own decisions."
ett förräderi,Ett förräderi kan kosta dig allt.,A betrayal can cost you everything.
ett förskott,Jag behöver ett förskott på min lön denna månad.,I need an advance on my salary this month.
att raka,Jag måste raka mig innan festen.,I need to shave before the party.
att svida,Solen kan svida på huden om man är ute för länge.,The sun can sting the skin if you are outside for too long.
syntetisk,Syntetisk fiber är lättare än bomull.,Synthetic fiber is lighter than cotton.
att mala,Hon älskar att mala kaffe varje morgon.,She loves to grind coffee every morning.
en frisör,Jag går till en frisör för att klippa håret.,I am going to a hairdresser to get my hair cut.
en osanning,Hon sa en osanning om mig.,She told an untruth about me.
en identifiering,Jag behöver en identifiering för att gå in.,I need an identification to enter.
undre,Sängen är undre än golvet.,The bed is lower than the floor.
en återvinning,En återvinning är bra för miljön.,Recycling is good for the environment.
att hurra,Vi ska hurra för vår väns födelsedag!,We will shout hooray for our friend's birthday!
en landning,Flygplanet gjorde en mjuk landning på flygplatsen.,The airplane made a smooth landing at the airport.
att spilla,Jag råkade spilla mitt kaffe på bordet.,I accidentally spilled my coffee on the table.
en duva,En duva sitter på taket.,A dove is sitting on the roof.
att pryda,Blommor pryder trädgården på sommaren.,Flowers adorn the garden in the summer.
att karakterisera,Att karakterisera en person är viktigt för att förstå deras känslor.,To characterize a person is important to understand their feelings.
att komponera,Jag älskar att komponera musik på min fritid.,I love to compose music in my free time.
vidsträckt,Landskapet är vidsträckt och vackert.,The landscape is extensive and beautiful.
en areal,En areal av skogen är skyddad.,An area of the forest is protected.
en utvecklare,En utvecklare skapar nya appar.,A developer creates new apps.
att betjäna,Jag älskar att betjäna kunder i vår butik.,I love to serve customers in our store.
en projektion,En projektion av filmen visades på väggen.,A projection of the movie was shown on the wall.
skrattretande,Det var skrattretande att se hunden dansa.,It was laughable to see the dog dance.
ett bacon,Jag gillar att äta ett bacon till frukost.,I like to eat a bacon for breakfast.
ett gräl,De hade ett gräl om vem som skulle laga middag.,They had a quarrel about who should cook dinner.
en diameter,En cirkel har en diameter.,A circle has a diameter.
att förhöra,Polisen måste förhöra vittnena om brottet.,The police must interrogate the witnesses about the crime.
en läsk,Jag vill ha en läsk med min pizza.,I want a soda with my pizza.
att tillmäta,Vi måste tillmäta honom mer ansvar.,We must assign him more responsibility.
en åsna,En åsna kan vara rolig att rida på.,A donkey can be fun to ride.
en konsolidering,En konsolidering av företagen kan skapa fler jobb.,A consolidation of the companies can create more jobs.
en tidtabell,Jag behöver kolla på en tidtabell.,I need to check a timetable.
en återbetalning,Jag väntar på en återbetalning för min beställning.,I am waiting for a refund for my order.
explicit,Hon förklarade allt explicit.,She explained everything explicitly.
ett kafé,Vi träffas på ett kafé varje lördag.,We meet at a café every Saturday.
manifest,Ett manifest kan förändra världen.,A manifesto can change the world.
stram,Han hade en stram min när han berättade historien.,He had a stern expression when he told the story.
en handske,Jag tappade en handske i snön.,I dropped a glove in the snow.
informativ,Den här boken är mycket informativ.,This book is very informative.
en rekonstruktion,En rekonstruktion av byggnaden är nödvändig.,A reconstruction of the building is necessary.
en ridning,Jag älskar en ridning på stranden.,I love a riding on the beach.
ett garn,Jag köpte ett garn för att sticka en tröja.,I bought a yarn to knit a sweater.
samtidig,Två filmer går samtidigt på bio.,Two movies are playing simultaneously at the cinema.
matt,Känslan var matt efter den långa dagen.,The feeling was weak after the long day.
att bredda,Vi behöver bredda våra kunskaper för att lyckas.,We need to broaden our knowledge to succeed.
en gruppledare,Hon är en gruppledare i skolan.,She is a group leader at the school.
ett certifikat,Jag behöver ett certifikat för att köra bil.,I need a certificate to drive a car.
ett garage,Jag parkerar bilen i ett garage.,I park the car in a garage.
en sociologi,Sociologi hjälper oss att förstå samhället.,Sociology helps us understand society.
angränsande,Den angränsande parken är perfekt för barnen.,The adjacent park is perfect for the children.
festlig,Det var en festlig kväll med många skratt.,It was a festive evening full of laughter.
att generalisera,Det är lätt att generalisera om människor.,It is easy to generalize about people.
en glödlampa,Jag behöver en glödlampa till mitt rum.,I need a light bulb for my room.
att grubbla,Jag brukar grubbla över mina beslut på kvällen.,I often ponder my decisions in the evening.
en lantbrukare,En lantbrukare arbetar hårt på sin gård.,A farmer works hard on his farm.
ett stipendium,Jag har fått ett stipendium för mina studier.,I have received a scholarship for my studies.
att strukturera,Jag behöver strukturera mina tankar innan mötet.,I need to structure my thoughts before the meeting.
en tjur,En tjur står i hagen.,A bull is standing in the pasture.
en böna,Jag åt en böna till lunch.,I ate a bean for lunch.
erotisk,Den erotiska filmen var mycket spännande.,The erotic movie was very exciting.
förträfflig,Maten på den här restaurangen är förträfflig.,The food at this restaurant is excellent.
en löpare,En löpare springer snabbt i parken.,A runner runs quickly in the park.
ett medlidande,Jag kände ett medlidande för den ensamma hunden.,I felt compassion for the lonely dog.
spänd,Hon kände sig spänd inför provet.,She felt tense before the exam.
en gardin,Jag hänger en gardin i fönstret.,I am hanging a curtain in the window.
en programmerare,Min bror är en programmerare.,My brother is a programmer.
en radiostation,Jag lyssnar på en radiostation varje morgon.,I listen to a radio station every morning.
att hosta,Jag måste hosta när jag är förkyld.,I have to cough when I have a cold.
en jämvikt,Det är viktigt att hitta en jämvikt mellan arbete och fritid.,It is important to find a balance between work and leisure.
en tonvikt,Hon la en tonvikt på att lyssna noga.,She placed an emphasis on listening carefully.
en lobby,Vi träffades i lobbyn innan mötet.,We met in the lobby before the meeting.
explosiv,Det finns explosiv kraft i fyrverkerier.,There is explosive power in fireworks.
hjälplös,Hon kände sig hjälplös utan sin telefon.,She felt helpless without her phone.
en klausul,Det finns en klausul i kontraktet som skyddar båda parter.,There is a clause in the contract that protects both parties.
en spindel,En spindel sitter i hörnet av rummet.,A spider is sitting in the corner of the room.
en topplista,Jag tittar alltid på en topplista för att se de mest populära låtarna.,I always check a bestseller list to see the most popular songs.
en klump,Jag såg en klump snö på marken.,I saw a lump of snow on the ground.
trivsam,Det är alltid trivsam att vara hemma med familjen.,It is always pleasant to be at home with the family.
brådskande,Det är brådskande att hjälpa honom nu.,It is urgent to help him now.
elementär,Matematiken är en elementär del av skolan.,Mathematics is an elementary part of school.
att rättfärdiga,Det är svårt att rättfärdiga hans beslut.,It is hard to justify his decision.
att navigera,Vi lär oss att navigera på sjön med en karta.,We are learning to navigate on the lake with a map.
att darra,Jag darrar av köld när jag går ut på vintern.,I shiver with cold when I go outside in the winter.
en flygel,Jag spelar på en flygel i parken.,I play on a grand piano in the park.
en orientering,En orientering hjälper oss att förstå platsen bättre.,An orientation helps us understand the place better.
utpräglad,Hennes stil är utpräglad och unik.,Her style is distinct and unique.
att bebo,Fåglarna bebor träden i parken.,The birds inhabit the trees in the park.
ett embryo,Ett embryo växer i mamman.,An embryo grows in the mother.
ett lexikon,Jag behöver ett lexikon för att förstå texten.,I need a dictionary to understand the text.
experimentell,Det här projektet är experimentellt och spännande.,This project is experimental and exciting.
att instifta,Vi måste instifta nya regler för att förbättra skolan.,We need to establish new rules to improve the school.
väsentligen,Väsentligen är vi alla lika.,"Essentially, we are all the same."
kortfattad,Hans presentation var kortfattad och tydlig.,His presentation was concise and clear.
ett referat,Jag skrev ett referat av boken för att dela med mina vänner.,I wrote a summary of the book to share with my friends.
en fyr,En fyr lyser upp natten vid havet.,A lighthouse lights up the night by the sea.
en förbränning,Förbränningen av sopor ger energi.,The incineration of waste produces energy.
att inrymma,Skolan inrymmer många elever varje år.,The school houses many students each year.
privilegierad,Jag känner mig privilegierad att ha en bra familj.,I feel privileged to have a good family.
en kardinal,En kardinal är en viktig fågel i skogen.,A cardinal is an important bird in the forest.
en essens,En essens av vanilj ger kakan en god smak.,An essence of vanilla gives the cake a good flavor.
en affärsverksamhet,Jag vill starta en affärsverksamhet nästa år.,I want to start a business activity next year.
extraordinär,Hon hade en extraordinär talang för att måla.,She had an extraordinary talent for painting.
en grammatik,Jag studerar en grammatik för att bli bättre på svenska.,I am studying a grammar to become better at Swedish.
en komposition,En komposition kan vara vacker och uttrycksfull.,A composition can be beautiful and expressive.
en krok,Jag hänger jackan på en krok.,I hang the jacket on a hook.
en kyss,Jag gav henne en kyss.,I gave her a kiss.
företrädesvis,Fika är företrädesvis bäst på en solig dag.,Fika is preferably best on a sunny day.
medfödd,Hans medfödda talang för musik är imponerande.,His inherited talent for music is impressive.
en jurisdiktion,En jurisdiktion kan vara stor eller liten.,A jurisdiction can be large or small.
att knipa,Jag måste knipa fast papperet så att det inte blåser bort.,I have to pinch the paper so it doesn't blow away.
en kondition,Jag tränar varje dag för att förbättra min kondition.,I train every day to improve my fitness.
oriktig,Det är oriktigt att säga att alla svenskar gillar surströmming.,It is incorrect to say that all Swedes like fermented herring.
proportionell,Resultatet är proportionellt mot insatsen.,The result is proportional to the effort.
själslig,Själslig ro kommer från att meditera.,Spiritual peace comes from meditating.
ett dagsljus,Ett dagsljus ger energi till dagen.,A daylight gives energy to the day.
en fukt,En fukt kan ge mögel i rummet.,A damp can cause mold in the room.
ett abonnemang,Jag har ett abonnemang för konserter.,I have a subscription for concerts.
att sammanföra,Vi ska sammanföra våra idéer för att göra projektet bättre.,We will bring together our ideas to make the project better.
en ånga,En ånga stiger upp från koppen.,A steam rises from the cup.
en aktiemarknad,En aktiemarknad är viktig för ekonomin.,A stock market is important for the economy.
en mapp,Jag har en mapp med viktiga papper.,I have a folder with important papers.
en prototyp,Vi byggde en prototyp av vår nya maskin.,We built a prototype of our new machine.
att vilseleda,Hon försökte vilseleda oss med sina lögner.,She tried to mislead us with her lies.
en immigrant,En immigrant kan berätta en fantastisk historia.,An immigrant can tell a fantastic story.
ett anlag,Hon har ett anlag för musik.,She has a talent for music.
en fullmakt,Jag gav min vän en fullmakt för att rösta åt mig.,I gave my friend a power of attorney to vote for me.
en hyresvärd,Min hyresvärd är mycket vänlig.,My landlord is very friendly.
en klassificering,En klassificering kan hjälpa oss att förstå böcker bättre.,A classification can help us understand books better.
en parlamentsledamot,En parlamentsledamot diskuterade nya lagar idag.,A member of parliament discussed new laws today.
att försena,Tåget är försenat med en timme.,The train is delayed by an hour.
en renhet,En renhet i tankarna ger lugn.,A purity of thoughts brings peace.
en övertid,Jag måste jobba övertid i kväll.,I have to work overtime tonight.
allergisk,Jag är allergisk mot pollen.,I am allergic to pollen.
att eskalera,Vi måste vara försiktiga så att konflikten inte eskalerar.,We need to be careful so that the conflict doesn't escalate.
en föreståndare,En föreståndare leder organisationen med stor omsorg.,A superintendent leads the organization with great care.
en spanare,En spanare undersöker platsen noggrant.,A detective investigates the scene carefully.
en instruktör,Jag har en instruktör som är mycket duktig.,I have an instructor who is very skilled.
en mugg,Jag dricker kaffe ur en mugg.,I drink coffee from a mug.
en granat,En granat kan vara farlig i fel händer.,A grenade can be dangerous in the wrong hands.
ofrivillig,Hans tårar var ofrivilliga när han fick nyheten.,His tears were involuntary when he received the news.
subtil,Hans kritik var subtil men viktig.,His criticism was subtle but important.
successiv,Vi kan förbättra våra kunskaper successivt.,We can improve our skills gradually.
en välvilja,Hon hjälpte mig med en välvilja.,She helped me with a goodwill.
banal,"Det var en banal fråga, men jag svarade ändå.","It was a commonplace question, but I answered anyway."
ett spjut,Han kastade ett spjut i tävlingen.,He threw a spear in the competition.
ett hektar,Jag har en trädgård som är ett hektar stor.,I have a garden that is one hectare big.
att avvärja,Hon använde en paraply för att avvärja regnet.,She used an umbrella to ward off the rain.
en hållplats,Vi väntar vid en hållplats för bussen.,We are waiting at a bus stop.
att härma,Barnen älskar att härma sina lärare.,The children love to imitate their teachers.
en distributör,En distributör levererar varor till butiker.,A distributor delivers goods to stores.
en hårdvara,En hårdvara är viktig för datorns prestanda.,Hardware is important for the computer's performance.
en grop,Det finns en grop i trädgården.,There is a hole in the garden.
att repetera,Jag behöver repetera inför provet.,I need to revise for the exam.
en utrotning,En utrotning av vissa djurarter är tragisk.,An extermination of certain animal species is tragic.
ett grannskap,Vi bor i ett grannskap med många vänliga grannar.,We live in a neighbourhood with many friendly neighbors.
en kamel,En kamel kan gå länge utan vatten.,A camel can go a long time without water.
ett avlopp,Det är viktigt att rengöra ett avlopp ibland.,It is important to clean a drain sometimes.
hjälpsam,Min vän är väldigt hjälpsam.,My friend is very helpful.
ett ämnesområde,Jag studerar ett ämnesområde som jag älskar.,I study a subject area that I love.
ändlös,Himlen verkar ändlös på en klar natt.,The sky looks endless on a clear night.
en flamma,En flamma dansade i mörkret.,A flame danced in the darkness.
en livmoder,En livmoder är viktig för graviditet.,A womb is important for pregnancy.
en reduktion,Vi behöver en reduktion av kostnaderna.,We need a reduction in expenses.
att susa,Löven susar i vinden när hösten kommer.,The leaves rustle in the wind when autumn arrives.
en funktionalitet,Appen har en funktionalitet som gör det lättare att organisera uppgifter.,The app has a functionality that makes it easier to organize tasks.
att kulminera,Känslorna kulminerade under konserten.,The emotions culminated during the concert.
slät,Kaffe är alltid bättre med en slät kopp.,Coffee is always better with a smooth cup.
en hysteri,Det var en hysteri när konserten började.,There was a hysteria when the concert started.
en rulle,Jag rullade en rulle film på väggen.,I rolled a roll of film on the wall.
nattlig,Nattliga djur är aktiva på natten.,Nocturnal animals are active at night.
en stråle,En stråle av ljus kom genom fönstret.,A ray of light came through the window.
att avskilja,Det är viktigt att avskilja fakta från åsikter.,It is important to separate facts from opinions.
att värdesätta,Det är viktigt att värdesätta vännerna i ditt liv.,It is important to appreciate the friends in your life.
en bark,En bark skyddar trädet från skador.,Bark protects the tree from damage.
en nalle,Min dotter älskar sin nalle.,My daughter loves her teddy bear.
en fångst,Det var en stor fångst av fisk idag.,It was a big catch of fish today.
revolutionerande,Den nya teknologin är revolutionerande för miljön.,The new technology is revolutionary for the environment.
en ark,En ark flyter på floden.,An ark floats on the river.
en fåtölj,Jag sitter i en fåtölj och läser en bok.,I am sitting in an armchair and reading a book.
ogiltig,Det här dokumentet är ogiltig.,This document is invalid.
en hygien,En god hygien är viktig för vår hälsa.,Good hygiene is important for our health.
ett tegel,Ett tegel ligger på marken.,A brick is lying on the ground.
att accelerera,Vi måste accelerera om vi vill hinna till tåget.,We need to accelerate if we want to catch the train.
gedigen,Det här bordet är gedigen och starkt.,This table is solid and strong.
en känslighet,En känslighet för konst är viktig.,A sensibility for art is important.
en sluttning,Vi går uppför en sluttning för att se solnedgången.,We walk up a hillside to see the sunset.
en nordväst,Vi åker en nordväst till fjällen.,We are going northwest to the mountains.
utsökt,Maten var utsökt på restaurangen.,The food was exquisite at the restaurant.
en analogi,En analogi kan göra en svår idé enklare att förstå.,An analogy can make a difficult idea easier to understand.
avliden,Min farfar är avliden sedan många år.,My grandfather has been deceased for many years.
en specifikation,Vi behöver en specifikation för projektet.,We need a specification for the project.
en samordnare,En samordnare planerar alla möten.,A coordinator plans all the meetings.
en stöt,Jag fick en stöt när jag rörde vid dörrhandtaget.,I got an electric shock when I touched the door handle.
en bandit,En bandit stjäl alltid pengar.,A bandit always steals money.
en devalvering,En devalvering kan påverka priserna i landet.,A devaluation can affect prices in the country.
en internationalisering,En internationalisering av företaget är viktig för tillväxt.,An internationalisation of the company is important for growth.
ett kölvatten,Båten lämnade ett kölvatten som glittrade i solen.,The boat left a wake that sparkled in the sun.
att frige,Vi måste frige fångarna snart.,We must set the prisoners free soon.
en åska,Det hörs en åska i fjärran.,There is thunder in the distance.
ett hallå,Jag sa ett hallå till min vän.,I said a hello to my friend.
ett badkar,Jag gillar att ta ett bad i ett badkar.,I like to take a bath in a bathtub.
en obligation,En obligation kan ge en bra avkastning.,A bond can provide a good return.
vertikal,Det finns en vertikal linje på tavlan.,There is a vertical line on the board.
ett sommarlov,Jag ser fram emot ett sommarlov varje år.,I look forward to a summer vacation every year.
en volontär,En volontär hjälper alltid till i svåra tider.,A volunteer always helps out in difficult times.
en likgiltighet,Hans likgiltighet gjorde mig besviken.,His indifference disappointed me.
mottaglig,Barn är ofta mottagliga för förkylningar.,Children are often susceptible to colds.
en noggrannhet,En noggrannhet är viktig i matematik.,An accuracy is important in mathematics.
ett tjat,Jag är trött på ditt tjat om att städa.,I'm tired of your nagging about cleaning.
att addera,Jag gillar att addera talen i min mattebok.,I like to add the numbers in my math book.
en barnvagn,Vi går ut med en barnvagn i parken.,We are going out with a baby carriage in the park.
hurra,Hurra! Vi vann matchen!,Hurray! We won the match!
en simning,Vi ska gå till simhallen för en simning.,We are going to the swimming pool for a swim.
en omvårdnad,En omvårdnad är viktig för alla.,Care is important for everyone.
att beskydda,Vi måste alltid beskydda våra barn.,We must always protect our children.
fyrkantig,Fönstret är fyrkantigt och ser bra ut.,The window is square-shaped and looks nice.
en tunna,En tunna rymmer mycket vatten.,A barrel holds a lot of water.
en ull,Ull kommer från får.,Wool comes from sheep.
en avresa,Vi har planerat en avresa till Spanien nästa vecka.,We have planned a departure to Spain next week.
en båge,En båge kan vara vacker i en park.,A bow can be beautiful in a park.
robust,Detta bord är väldigt robust.,This table is very robust.
en suppleant,Han är en suppleant i styrelsen.,He is a deputy member of the board.
energisk,Hon är alltid så energisk på morgonen.,She is always so energetic in the morning.
rikligt,Det regnade rikligt hela natten.,It rained abundantly all night.
att blotta,Hon ville blotta sina känslor för honom.,She wanted to expose her feelings for him.
en lokalisering,En lokalisering i centrum är idealisk för vårt företag.,A location in the center is ideal for our company.
att interagera,Barn älskar att interagera med sina vänner.,Children love to interact with their friends.
en julgran,Vi dekorerade en julgran med ljus och kulor.,We decorated a Christmas tree with lights and ornaments.
ett porto,Jag behöver köpa ett porto för att skicka brevet.,I need to buy a postage to send the letter.
ett stick,Jag fick ett stick av en geting.,I got a sting from a wasp.
att rotera,Jag gillar att rotera min stol när jag tänker.,I like to rotate my chair when I think.
en kiosk,Jag köpte godis på en kiosk.,I bought candy at a kiosk.
ett galler,Ett galler skyddar elden från att sprida sig.,A fireguard prevents the fire from spreading.
onormal,Det känns onormalt att vara ensam hela tiden.,It feels abnormal to be alone all the time.
oräknelig,Det finns oräknelig skönhet i naturen.,There is countless beauty in nature.
en olivolja,Jag använder en olivolja i min sallad.,I use an olive oil in my salad.
en bokning,Jag har gjort en bokning på hotellet.,I have made a booking at the hotel.
förskräcklig,Det var en förskräcklig storm i natt.,It was an awful storm last night.
att inspektera,Jag behöver inspektera bilen innan vi åker.,I need to inspect the car before we leave.
att orientera sig,Jag behöver lite tid för att orientera mig i den nya staden.,I need some time to get my bearings in the new city.
att smeka,Jag älskar att smeka min katt när den ligger i mitt knä.,I love to pet my cat when she's lying in my lap.
välgörande,Välgörande arbete hjälper många människor.,Charitable work helps many people.
en reception,Vi träffades på en reception för att fira deras bröllop.,We met at a reception to celebrate their wedding.
en reproduktion,En reproduktion av konstverket är mycket imponerande.,A reproduction of the artwork is very impressive.
en konsul,En konsul bor i staden.,A consul lives in the city.
ett konsulat,Jag besökte ett konsulat för att få hjälp med mitt visum.,I visited a consulate to get help with my visa.
medvetslös,Hon svimmade och blev medvetslös.,She fainted and became unconscious.
en moped,Jag åker gärna på en moped i sommar.,I would love to ride a moped this summer.
att sammanträda,Vi kommer att sammanträda på måndag för att diskutera projektet.,We will meet on Monday to discuss the project.
ett altare,Det finns ett altare i kyrkan.,There is an altar in the church.
en kidnappning,En kidnappning är alltid en skrämmande händelse.,A kidnapping is always a frightening event.
en uppfyllelse,Att se min bok bli publicerad är en uppfyllelse.,To see my book published is a fulfillment.
en betingelse,En betingelse för att få jobbet är erfarenhet.,A condition for getting the job is experience.
att förplikta,Jag lovade att förplikta mig till mitt arbete.,I promised to commit myself to my work.
en handväska,Jag har en handväska som är svart.,I have a handbag that is black.
att häkta,Polisen beslutade att häkta misstänkte gärningspersonen.,The police decided to remand the suspected perpetrator in custody.
ett rådjur,Jag såg ett rådjur i skogen.,I saw a roe deer in the forest.
en specialisering,Jag studerar en specialisering i biologi.,I am studying a specialisation in biology.
ett överfall,Det var ett överfall på gatan i natt.,There was an assault on the street last night.
ett frimärke,Jag köpte ett frimärke igår.,I bought a postage stamp yesterday.
ett lakan,Jag behöver ett lakan för att täcka sängen.,I need a bedsheet to cover the bed.
en gurka,Jag gillar att äta en gurka i salladen.,I like to eat a cucumber in the salad.
en kanna,Jag häller saft i en kanna.,I pour juice into a pitcher.
en midja,Hon har en smal midja.,She has a slim waist.
att omringa,Vi såg fåglar som omringade trädet.,We saw birds that surrounded the tree.
en styrelseordförande,En styrelseordförande leder möten varje vecka.,A chairman of the board leads meetings every week.
att ödelägga,Stormen ödelade hela byn.,The storm destroyed the entire village.
en slang,En slang ligger på golvet.,A hose is lying on the floor.
ett överhuvud,Han är alltid ett överhuvud i gruppen.,He is always a leader in the group.
en handelsman,En handelsman säljer många varor i sin butik.,A merchant sells many goods in his shop.
linjär,Linjär matematik är lättare att förstå.,Linear math is easier to understand.
en telekommunikation,En telekommunikation är viktigt i vår moderna värld.,A telecommunication is important in our modern world.
karakteristisk,En karakteristisk doft av kaffe sprider sig i rummet.,A characteristic smell of coffee spreads in the room.
en åklagarmyndighet,En åklagarmyndighet arbetar för att upprätthålla lagen.,A public prosecutor's office works to uphold the law.
en årsdag,Vi firar en årsdag varje år.,We celebrate an anniversary every year.
en repetition,Vi har en repetition innan provet.,We have a review before the test.
en underskrift,Jag behöver en underskrift för att slutföra dokumentet.,I need a signature to complete the document.
en förgrund,Det finns många blommor i förgrunden av bilden.,There are many flowers in the foreground of the picture.
en grönska,En grönska pryder trädgården på sommaren.,A greenery adorns the garden in summer.
en kungörelse,Det kom en kungörelse om det nya regelverket.,A public notice was issued about the new regulations.
att besvära,"Jag vill inte besvära dig, men kan du hjälpa mig?","I don't want to bother you, but can you help me?"
en reflex,"När det är mörkt, bär jag alltid en reflex.","When it's dark, I always wear a reflector."
en inspektör,En inspektör kontrollerar alltid säkerheten.,An inspector always checks the safety.
stum,Hon blev stum av chock när hon hörde nyheterna.,She was mute with shock when she heard the news.
att uppdra,Jag vill uppdra uppgiften till dig.,I want to commission the task to you.
att gunga,Barnen älskar att gunga på lekplatsen.,The children love to swing at the playground.
kooperativ,Kooperativet hjälper oss att arbeta tillsammans.,The cooperative helps us work together.
en legitimation,Jag glömde min legitimation hemma.,I forgot my ID at home.
patriotisk,Att vara patriotisk är viktigt för många människor.,Being patriotic is important for many people.
en aptit,Jag har alltid en aptit för god mat.,I always have an appetite for good food.
artig,Han är alltid så artig mot sina lärare.,He is always so polite to his teachers.
en beskyddare,Hon är alltid en beskyddare för sina vänner.,She is always a protector for her friends.
en samstämmighet,Det finns en samstämmighet bland oss om vad vi ska göra.,There is an accord among us about what we should do.
ett uppehälle,Ett uppehälle är viktigt för att leva ett bra liv.,A livelihood is important for living a good life.
ett segment,Ett segment av filmen var mycket spännande.,A segment of the movie was very exciting.
en stege,Jag behöver en stege för att nå taket.,I need a ladder to reach the roof.
en rea,Det är en rea på kläder i affären.,There is a sale on clothes at the store.
en oliv,Jag gillar att äta en oliv på min pizza.,I like to eat an olive on my pizza.
en syra,En syra kan göra maten surt.,An acid can make food sour.
att vattna,Jag glömde att vattna blommorna igår.,I forgot to water the flowers yesterday.
att besätta,De bestämde sig för att besätta den tomma posten i styrelsen.,They decided to fill the vacant position on the board.
en dispyt,Det var en dispyt mellan grannarna om staketet.,There was a dispute between the neighbors about the fence.
en kräfta,Vi ska äta en kräfta på festen.,We are going to eat a crayfish at the party.
läcker,Den där tårtan ser läcker ut!,That cake looks delicious!
en vaktmästare,En vaktmästare städar skolan varje dag.,A janitor cleans the school every day.
en byggnation,Det finns en byggnation i vår stadsdel.,There is a building under construction in our neighborhood.
förlåt,Förlåt att jag kom sent.,Sorry I'm late.
ett bi,Ett bi flyger runt blommorna.,A bee is flying around the flowers.
en dårskap,Att hoppa från taket är en dårskap.,Jumping from the roof is a folly.
en räka,Jag äter gärna en räka till middag.,I like to eat a shrimp for dinner.
en terminal,Vi väntar på bussen vid en terminal.,We are waiting for the bus at a terminal.
ett vakuum,Ett vakuum skapas när luften tas bort.,A vacuum is created when the air is removed.
en fusion,En fusion mellan de två företagen skapade många nya möjligheter.,A merger between the two companies created many new opportunities.
en utskrift,Jag behöver en utskrift av dokumentet.,I need a printout of the document.
en offert,Jag väntar på en offert från företaget.,I am waiting for an offer from the company.
ett botemedel,Det finns ett botemedel mot förkylning.,There is a cure for the cold.
säregen,Hennes kläder är alltid så säregna.,Her clothes are always so peculiar.
en taxa,Taxan för bussturen är mycket rimlig.,The fare for the bus ride is very reasonable.
välvillig,Hon är en välvillig person som alltid hjälper andra.,She is a benevolent person who always helps others.
klumpig,Han är så klumpig att han alltid snubblar över sina egna fötter.,He is so clumsy that he always trips over his own feet.
en tillflykt,Skogen är en tillflykt för många djur.,The forest is a refuge for many animals.
en vävnad,En vävnad kan vara både vacker och funktionell.,A fabric can be both beautiful and functional.
ett majestät,Ett majestät sitter på tronen.,A majesty sits on the throne.
en immunitet,En immunitet kan skydda oss mot sjukdomar.,An immunity can protect us from diseases.
en ombildning,Det var en ombildning av företaget för att öka effektiviteten.,It was a transformation of the company to increase efficiency.
omstridd,Det omstridda beslutet skapade mycket debatt.,The controversial decision sparked a lot of debate.
en periferi,Ibland känner jag mig som om jag bor i en periferi av staden.,Sometimes I feel like I live in a periphery of the city.
en nunna,En nunna bor i klostret.,A nun lives in the monastery.
en löjtnant,En löjtnant leder sitt team med stolthet.,A lieutenant leads their team with pride.
att återlämna,Jag måste återlämna boken till biblioteket idag.,I need to return the book to the library today.
en stav,Jag behöver en stav för att gå på fjället.,I need a pole to walk in the mountains.
fridfull,Det är fridfullt vid sjön på morgonen.,It is peaceful by the lake in the morning.
ett höghus,Det finns ett höghus i vår stad.,There is a high-rise building in our city.
en innevånare,En innevånare i staden känner alltid till de bästa restaurangerna.,An inhabitant of the city always knows the best restaurants.
att sjösätta,Vi ska sjösätta den nya båten i helgen.,We will launch the new boat this weekend.
ett trauma,Ett trauma kan ta tid att läka.,A trauma can take time to heal.
ett oväder,Det kommer ett oväder snart.,A storm is coming soon.
en spion,En spion arbetar ofta i hemlighet.,A spy often works in secret.
att komplicera,Att komplicera saker gör livet svårare.,To complicate things makes life harder.
ett substantiv,Ett substantiv är viktigt för att bilda meningar.,A noun is important for forming sentences.
en undersida,Jag såg en undersida på hemsidan som hade bra information.,I saw a subpage on the website that had good information.
att putsa,Jag behöver putsa mina naglar innan festen.,I need to polish my nails before the party.
en kam,Jag behöver en kam för att reda ut håret.,I need a comb to untangle my hair.
manuell,Den manuella bilen är lätt att köra.,The manual car is easy to drive.
ett mittfält,Jag spelar ofta på ett mittfält i fotboll.,I often play in a midfield in soccer.
en pizzeria,Vi ska äta på en pizzeria i kväll.,We are going to eat at a pizzeria tonight.
en sittplats,Jag behöver en sittplats på bussen.,I need a seat on the bus.
en uthyrning,Vi behöver ordna en uthyrning av bilen.,We need to arrange a leasing of the car.
en komplimang,Du gav mig en komplimang som gjorde mig glad.,You gave me a compliment that made me happy.
ett handtag,Jag behöver ett handtag för att öppna dörren.,I need a handle to open the door.
att bemästra,Det tar tid att bemästra nya färdigheter.,It takes time to master new skills.
obekant,Det finns många obekanta platser i staden.,There are many unfamiliar places in the city.
att stapla,Jag gillar att stapla böcker på hyllan.,I like to stack books on the shelf.
ett tusental,Det fanns ett tusental människor på festivalen.,There were a thousand people at the festival.
att berättiga,Du behöver en lapp som berättigar dig till rabatten.,You need a note that entitles you to the discount.
stereotyp,En stereotyp kan vara skadlig för människor.,A stereotype can be harmful to people.
en vitlök,Jag behöver en vitlök till min sås.,I need a garlic for my sauce.
en alkoholism,En alkoholism kan påverka hela familjen.,An alcoholism can affect the whole family.
en beröring,En beröring kan göra stor skillnad.,A touch can make a big difference.
ett bete,Ett bete ligger vid sjön där korna betar.,A pasture is located by the lake where the cows graze.
